algo vs matrices,time to train(sec),time to predict(sec),accuracy_score,precision_score,recall_score,f1_score,fbeta_score,matthews_corrcoef,jaccard_score,cohen_kappa_score,hamming_loss,zero_one_loss,mean_absolute_error,mean_squared_error,mean_squared_error,balanced_accuracy_score,explained_variance_score
DT,0.093,26.404,0.883,0.883,0.883,0.883,0.883,0.864,0.809,0.864,0.117,0.117,0.296,1.121,1.059,0.863,77.563
Linear Regression,0.016,0.696,0.368,0.408,0.368,0.333,0.345,0.306,0.254,0.267,0.632,0.632,1.405,3.968,1.992,0.252,20.657
Logistic Regression,0.056,73.958,0.685,0.727,0.685,0.666,0.677,0.641,0.568,0.633,0.315,0.315,0.894,3.673,1.916,0.590,27.557
KNN,123.570,0.183,0.863,0.860,0.863,0.861,0.860,0.842,0.777,0.842,0.137,0.137,0.383,1.587,1.260,0.843,68.239
Random Forest,7.719,539.606,0.923,0.922,0.923,0.922,0.922,0.911,0.866,0.911,0.077,0.077,0.186,0.681,0.825,0.915,86.396
MLP,0.427,1378.967,0.858,0.856,0.858,0.855,0.855,0.836,0.768,0.835,0.142,0.142,0.407,1.740,1.319,0.842,65.196
Bagging,1.118,232.980,0.910,0.909,0.910,0.909,0.909,0.895,0.847,0.895,0.090,0.090,0.221,0.814,0.902,0.899,83.704
J48,0.088,51.627,0.886,0.886,0.886,0.886,0.886,0.867,0.813,0.867,0.114,0.114,0.284,1.062,1.030,0.867,78.756
ANN,19.215,264.987,0.691,0.707,0.691,0.664,0.663,0.647,0.570,0.641,0.309,0.309,1.023,4.866,2.206,0.601,2.664
DNN,21.132,344.194,0.797,0.792,0.797,0.785,0.785,0.767,0.687,0.765,0.203,0.203,0.641,2.936,1.713,0.759,41.251
Gradient Boosting,5.418,5645.930,0.879,0.876,0.879,0.876,0.876,0.859,0.800,0.859,0.121,0.121,0.322,1.296,1.139,0.862,74.174
XGBoost,3.861,111.807,0.920,0.919,0.920,0.919,0.919,0.908,0.862,0.908,0.080,0.080,0.193,0.715,0.845,0.911,85.740
Gaussian Naive Bayes,0.588,0.746,0.587,0.693,0.587,0.573,0.612,0.552,0.487,0.526,0.413,0.413,1.569,7.879,2.807,0.515,-55.887
Adaptive Gradient Boosting,28.361,3562.323,0.821,0.821,0.821,0.820,0.820,0.792,0.725,0.792,0.179,0.179,0.485,1.950,1.396,0.791,60.999
QDA,1.282,2.085,0.244,0.060,0.244,0.096,0.070,0.000,0.060,0.000,0.756,0.756,1.796,5.517,2.349,0.111,0.000
SNN,28.912,586.120,0.842,0.840,0.842,0.837,0.838,0.818,0.748,0.817,0.158,0.158,0.457,1.963,1.401,0.818,60.722
RBM,31.696,693.053,0.244,0.060,0.244,0.096,0.070,0.000,0.060,0.000,0.756,0.756,1.796,5.517,2.349,0.111,0.000
LSTM,64.799,3727.398,0.837,0.836,0.837,0.834,0.834,0.812,0.741,0.812,0.163,0.163,0.490,2.151,1.467,0.816,56.988
reconstruction_NN,15.330,319.226,0.783,0.775,0.783,0.772,0.771,0.750,0.673,0.748,0.217,0.217,0.663,2.897,1.702,0.743,42.037
DANN,18.977,372.575,0.819,0.817,0.819,0.811,0.813,0.791,0.714,0.790,0.181,0.181,0.551,2.442,1.563,0.790,51.193
DBN,1.937,657.718,0.523,0.440,0.523,0.445,0.436,0.497,0.391,0.429,0.477,0.477,1.303,4.558,2.135,0.334,11.131
DBM,15.171,262.755,0.843,0.840,0.843,0.838,0.839,0.818,0.748,0.818,0.157,0.157,0.460,1.990,1.411,0.821,60.205
DA,28.253,578.647,0.853,0.851,0.853,0.850,0.850,0.831,0.761,0.830,0.147,0.147,0.437,1.905,1.380,0.838,61.946
PassiveAggressiveClassifier,0.143,31.515,0.615,0.666,0.615,0.620,0.636,0.555,0.523,0.551,0.385,0.385,1.116,4.679,2.163,0.506,8.106
RidgeClassifier,0.081,2.053,0.610,0.635,0.610,0.557,0.555,0.565,0.467,0.544,0.390,0.390,1.164,5.135,2.266,0.488,1.157
NearestCentroid,0.252,0.598,0.517,0.578,0.517,0.494,0.516,0.453,0.382,0.439,0.483,0.483,1.436,6.331,2.516,0.431,-17.545
CSLR,0.072,78.932,0.687,0.716,0.687,0.671,0.679,0.642,0.574,0.637,0.313,0.313,1.190,6.043,2.458,0.606,-14.513
CSBC erroralgo,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LightGBM erroralgo,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LDA,2.676,115.761,0.507,0.416,0.507,0.428,0.419,0.498,0.390,0.409,0.493,0.493,1.314,4.521,2.126,0.311,12.070
GRU,15.089,567.932,0.730,0.732,0.730,0.723,0.726,0.689,0.614,0.687,0.270,0.270,0.866,3.925,1.981,0.669,22.216
Stochastic_gradient,0.031,6.449,0.683,0.669,0.683,0.667,0.666,0.635,0.564,0.632,0.317,0.317,0.981,4.309,2.076,0.601,14.016
Extra Trees Classifier,1.534,34.321,0.887,0.884,0.887,0.885,0.884,0.869,0.810,0.869,0.113,0.113,0.301,1.204,1.097,0.874,75.970
Feed Forward Neural Networks,4.539,78.081,0.785,0.786,0.785,0.782,0.783,0.752,0.676,0.751,0.215,0.215,0.683,3.129,1.769,0.746,37.582
Fuzzy,0.113,17.827,0.063,0.088,0.063,0.070,0.078,-0.056,0.037,-0.055,0.937,0.937,3.127,14.703,3.834,0.047,-191.107
EDLNs,21.797,506.190,0.790,0.790,0.790,0.786,0.787,0.758,0.682,0.757,0.210,0.210,0.663,3.025,1.739,0.750,39.618
GMM,94.297,8.951,0.700,0.736,0.700,0.688,0.708,0.663,0.586,0.654,0.300,0.300,0.832,3.523,1.877,0.647,29.634
Bernoulli Naive Bayes,0.027,0.114,0.522,0.582,0.522,0.508,0.533,0.466,0.411,0.450,0.478,0.478,1.823,9.331,3.055,0.433,-73.057
CatBoost,0.233,307.382,0.895,0.893,0.895,0.893,0.893,0.878,0.822,0.878,0.105,0.105,0.279,1.106,1.052,0.882,77.947
Centralised Blending,0.000,82.639,0.730,0.701,0.730,0.692,0.689,0.691,0.569,0.680,0.270,0.270,0.461,1.317,1.148,0.685,73.865
BLoCNet,5.390,99.249,0.761,0.763,0.761,0.752,0.755,0.724,0.646,0.722,0.239,0.239,0.765,3.497,1.870,0.703,30.391
constructive_learning,0.030,4.029,0.828,0.827,0.828,0.828,0.827,0.801,0.733,0.801,0.172,0.172,0.484,1.987,1.409,0.797,60.317
AIS,1.103,79.084,0.890,0.888,0.890,0.888,0.888,0.873,0.815,0.873,0.110,0.110,0.291,1.159,1.076,0.878,76.877
GBBK,0.058,0.160,0.589,0.699,0.589,0.576,0.617,0.554,0.489,0.528,0.411,0.411,1.553,7.750,2.784,0.519,-52.678
GE SVM,74.125,109.960,0.671,0.733,0.671,0.647,0.672,0.632,0.553,0.614,0.329,0.329,1.040,4.467,2.113,0.564,11.097
Hidden Naive Bayes (HNB),0.033,0.156,0.589,0.699,0.589,0.576,0.617,0.554,0.489,0.528,0.411,0.411,1.553,7.750,2.784,0.519,-52.678
HistGradientBoostingClassifier,1.347,38.377,0.895,0.893,0.895,0.893,0.893,0.878,0.823,0.878,0.105,0.105,0.271,1.060,1.030,0.880,78.858
IGRF-RFE with k-fold Cross-Validation,0.019,2.014,0.829,0.829,0.829,0.829,0.829,0.802,0.735,0.802,0.171,0.171,0.478,1.969,1.403,0.797,60.676
ICA,0.973,106.652,0.852,0.848,0.852,0.849,0.849,0.828,0.761,0.828,0.148,0.148,0.423,1.775,1.332,0.830,64.543
Lasso Regression,0.030,257.884,0.688,0.722,0.688,0.673,0.682,0.644,0.572,0.637,0.312,0.312,0.908,3.800,1.949,0.601,24.753
Meta (KNN),20.614,0.968,0.823,0.817,0.823,0.819,0.818,0.795,0.721,0.795,0.177,0.177,0.526,2.267,1.506,0.793,54.730
T-SNE Random Forest (T-SNERF) with k-fold Cross-Validation,0.860,2509.490,0.483,0.544,0.483,0.499,0.522,0.407,0.387,0.403,0.517,0.517,1.514,6.161,2.482,0.393,-15.898
Projected Gradient Descent (PGD),0.045,63.283,0.708,0.730,0.708,0.689,0.700,0.667,0.589,0.660,0.292,0.292,0.870,3.801,1.950,0.622,24.651
PCA,0.009,2.643,0.775,0.776,0.775,0.776,0.776,0.739,0.668,0.739,0.225,0.225,0.679,2.946,1.716,0.731,41.149
RBF,71.403,105.815,0.670,0.731,0.670,0.646,0.670,0.631,0.552,0.613,0.330,0.330,1.044,4.493,2.120,0.563,10.556
Stacked Convolutional Neural Networks with k-fold Cross-Validation,4.640,129.599,0.790,0.787,0.790,0.775,0.777,0.759,0.675,0.756,0.210,0.210,0.653,2.865,1.693,0.753,42.818
Simulated Annealing (SA),0.002,253.895,0.457,0.613,0.457,0.410,0.462,0.424,0.336,0.348,0.543,0.543,1.722,6.916,2.630,0.307,-11.425
SVM with Optimization and k-fold Cross-Validation,11.108,49.803,0.643,0.693,0.643,0.604,0.620,0.604,0.519,0.582,0.357,0.357,1.004,3.985,1.996,0.525,21.781
Stacking Classifier,1.741,169.924,0.842,0.841,0.842,0.842,0.841,0.816,0.753,0.816,0.158,0.158,0.420,1.675,1.294,0.816,66.534
Stacking Dilated Convolutional Autoencoders,0.019,9.624,0.831,0.831,0.831,0.831,0.831,0.804,0.737,0.804,0.169,0.169,0.471,1.921,1.386,0.800,61.632
Temporal Deep Feedforward Neural Network,2.138,58.795,0.677,0.627,0.677,0.629,0.622,0.639,0.549,0.623,0.323,0.323,0.961,4.161,2.040,0.573,17.086
Voting Classifier,0.129,3.644,0.830,0.833,0.830,0.831,0.832,0.802,0.738,0.802,0.170,0.170,0.469,1.912,1.383,0.800,61.937
GBT,0.404,363.925,0.871,0.869,0.871,0.869,0.869,0.851,0.789,0.851,0.129,0.129,0.347,1.415,1.189,0.853,71.835
CART,0.015,3596.095,0.251,0.135,0.251,0.110,0.098,0.078,0.067,0.012,0.749,0.749,1.763,5.349,2.313,0.122,2.692
